DO_Number,Customer_Name,Destination,Weight_Tons,Recommended_Vehicle,Vehicle_ID,Vehicle_Type,Predicted_Profit_INR,Confidence_Score,Expected_Revenue,Estimated_Cost,Route,Distance_Km,ETA,Capacity_Utilization_%,Reasoning
DO-2026-01-100090,Tata Steel Ltd,"Coimbatore, Tamil Nadu",12.1,MH-21-CB-4889,VEH-1001,Owned,1805.07,Medium,77460,75654.93,"LP-BHI-05 -> Coimbatore, Tamil Nadu",1500,2026-01-04 18:19,63.7,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | ⚠️ Under-utilized (63.7%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (913 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100031,JSW Steel,"Chennai, Tamil Nadu",20.3,GJ-94-AB-1889,VEH-1005,Attached,3220.95,Medium,36508,33287.05,"LP-KOL-02 -> Chennai, Tamil Nadu",1500,2026-01-04 15:16,72.5,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Vehicle far from loading point (761 km) | Fuel efficient vehicle (8.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100086,Lloyds Metals,"Jaipur, Rajasthan",27.2,GJ-94-AB-1889,VEH-1005,Attached,3231.54,High,67388,64156.46,"LP-RKL-04 -> Jaipur, Rajasthan",1500,2026-01-04 08:04,97.1,Attached vehicle - Good profit margin (avg 20%) | Optimal capacity utilization (97.1%) | ⚠️ Vehicle far from loading point (401 km) | Fuel efficient vehicle (8.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100211,JSW Steel,"Coimbatore, Tamil Nadu",21.8,GJ-94-AB-1889,VEH-1005,Attached,3286.68,Medium,65247,61960.32,"LP-BHI-05 -> Coimbatore, Tamil Nadu",1500,2026-01-04 00:03,77.9,Attached vehicle - Good profit margin (avg 20%) | Vehicle nearby loading point (0 km) | Fuel efficient vehicle (8.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100590,NMDC Ltd,"Jaipur, Rajasthan",19.8,GJ-94-AB-1889,VEH-1005,Attached,2155.62,Medium,51983,49827.38,"LP-RKL-04 -> Jaipur, Rajasthan",1500,2026-01-04 08:04,70.7,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Vehicle far from loading point (401 km) | Fuel efficient vehicle (8.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100626,Lloyds Metals,Delhi NCR,26.4,GJ-94-AB-1889,VEH-1005,Attached,4436.42,High,50380,45943.58,LP-JAM-01 -> Delhi NCR,1500,2026-01-04 11:04,94.3,Attached vehicle - Good profit margin (avg 20%) | Optimal capacity utilization (94.3%) | ⚠️ Vehicle far from loading point (551 km) | Fuel efficient vehicle (8.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100750,Tata Steel Ltd,"Chennai, Tamil Nadu",12.0,GJ-94-AB-1889,VEH-1005,Attached,707.84,Medium,33232,32524.16,"LP-KOL-02 -> Chennai, Tamil Nadu",1500,2026-01-04 15:16,42.9,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Under-utilized (42.9%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (761 km) | Fuel efficient vehicle (8.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100786,Rashtriya Ispat Nigam,"Coimbatore, Tamil Nadu",26.6,GJ-94-AB-1889,VEH-1005,Attached,4132.55,High,40941,36808.45,"LP-BHI-05 -> Coimbatore, Tamil Nadu",1500,2026-01-04 00:03,95.0,Attached vehicle - Good profit margin (avg 20%) | Optimal capacity utilization (95.0%) | Vehicle nearby loading point (0 km) | Fuel efficient vehicle (8.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100841,JSW Steel,"Mumbai, Maharashtra",27.6,GJ-94-AB-1889,VEH-1005,Attached,27.6,High,72809,72781.4,"LP-JAM-01 -> Mumbai, Maharashtra",2748,2026-01-05 12:02,98.6,Attached vehicle - Good profit margin (avg 20%) | Optimal capacity utilization (98.6%) | ⚠️ Vehicle far from loading point (551 km) | Fuel efficient vehicle (8.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100966,Rashtriya Ispat Nigam,"Chennai, Tamil Nadu",24.9,GJ-94-AB-1889,VEH-1005,Attached,3088.81,High,71312,68223.19,"LP-KOL-02 -> Chennai, Tamil Nadu",1500,2026-01-04 15:16,88.9,Attached vehicle - Good profit margin (avg 20%) | Optimal capacity utilization (88.9%) | ⚠️ Vehicle far from loading point (761 km) | Fuel efficient vehicle (8.0 KMPL) | Reliable driver (score: 85/100)
