LREntryNo,LREntryDate,VehicleNo,Capacity,Vehicle_Type,Vehicle_Ownership_Type,CustomerName,From_Station,To_Station,NetWt_Tons,Freight_Revenue_INR,Fuel_Cost_INR,Driver_Allowance_INR,Toll_Charges_INR,Total_Trip_Cost_INR,Profit_Margin_INR,Profit_Margin_Percent,Actual_Distance_Km,Trip_Duration_Hours,Delay_Hours
LR-2025-080000,2025-08-24,HR-59-BB-4196,32,Covered,Owned,Tata Steel Ltd,Tata Steel Jamshedpur,Mumbai,12.5,56828,51071,2930,2323,55834,994,1.75,2419,60.6,0
LR-2025-080001,2025-08-26,UP-67-AB-8899,32,Open,Attached,JSW Steel,Kolkata Steel Depot,Delhi NCR,20.9,78109,33948,3666,2498,99829,-21720,-27.81,746,21.9,12
LR-2025-080002,2025-10-01,TN-45-BA-5220,32,Trailer,Market,SAIL Bokaro,Durgapur Steel,Pune,19.5,35915,26067,5525,2356,30288,5627,15.67,2569,51.5,0
LR-2025-080003,2025-10-27,HR-92-BC-7176,32,Flatbed,Owned,Hindalco Industries,Rourkela Steel Plant,Chennai,25.1,86136,43011,5478,4430,96449,-10313,-11.97,2681,70.1,0
LR-2025-080004,2025-11-24,GJ-21-AB-2460,21,LCV,Attached,Vedanta Resources,Bhilai Steel Plant,Bengaluru,25.1,49293,30331,5849,2275,43193,6100,12.37,2726,36.6,3
LR-2025-080005,2025-12-23,GJ-17-BA-7359,25,HCV,Market,NMDC Ltd,Visakhapatnam Steel,Hyderabad,16.2,58916,41922,6066,4582,62451,-3535,-6.0,897,45.1,1
LR-2025-080006,2025-12-21,KA-50-AC-5863,19,Covered,Owned,Rashtriya Ispat Nigam,Tata Steel Jamshedpur,Ahmedabad,20.0,48558,47870,3403,4263,39595,8963,18.46,1540,24.2,1
LR-2025-080007,2025-12-15,RJ-49-AB-5480,32,Open,Attached,Essar Steel,Kolkata Steel Depot,Jaipur,21.6,86513,32136,4827,2993,102988,-16475,-19.04,1922,19.3,3
LR-2025-080008,2025-10-31,MH-99-AA-3933,25,Trailer,Market,Jindal Steel,Durgapur Steel,Lucknow,24.8,44007,37601,6138,4500,52390,-8383,-19.05,1032,71.5,0
LR-2025-080009,2025-08-24,RJ-60-CA-2176,28,Flatbed,Owned,Bhushan Steel,Rourkela Steel Plant,Coimbatore,24.8,56112,36505,5652,2599,54971,1141,2.03,2624,38.1,0
LR-2025-080010,2025-12-10,GJ-68-AC-3253,25,LCV,Attached,AM/NS India,Bhilai Steel Plant,Surat,24.1,83300,37076,3393,2659,97583,-14283,-17.15,1273,61.0,0
LR-2025-080011,2025-07-29,HR-96-AC-7169,25,HCV,Market,Lloyds Metals,Visakhapatnam Steel,Indore,23.8,76679,29024,3030,2193,58640,18039,23.53,1836,70.6,0
LR-2025-080012,2025-08-14,RJ-85-CA-3434,32,Covered,Owned,APL Apollo,Tata Steel Jamshedpur,Mumbai,24.7,37438,34056,2939,2286,30737,6701,17.9,1366,38.2,0
LR-2025-080013,2025-07-09,TN-98-AB-8596,32,Open,Attached,Shyam Steel,Kolkata Steel Depot,Delhi NCR,17.5,73069,47171,4304,1847,91802,-18733,-25.64,871,22.5,0
LR-2025-080014,2025-08-15,MH-12-CB-5484,32,Trailer,Market,SRMB Steel,Durgapur Steel,Pune,25.2,76035,29868,4372,3783,84229,-8194,-10.78,2156,32.7,0
LR-2025-080015,2025-08-08,UP-61-AA-7451,28,Flatbed,Owned,Tata Steel Ltd,Rourkela Steel Plant,Chennai,26.7,55314,50018,3061,3925,43865,11449,20.7,2775,46.2,3
LR-2025-080016,2025-10-31,HR-33-AC-1087,28,LCV,Attached,JSW Steel,Bhilai Steel Plant,Bengaluru,18.9,76709,38597,3303,1960,63249,13460,17.55,907,48.2,1
LR-2025-080017,2025-12-15,HR-25-BB-6956,28,HCV,Market,SAIL Bokaro,Visakhapatnam Steel,Hyderabad,13.1,39755,18005,3817,3031,41842,-2087,-5.25,569,69.0,0
LR-2025-080018,2025-08-09,KA-27-CB-6127,28,Covered,Owned,Hindalco Industries,Tata Steel Jamshedpur,Ahmedabad,28.6,85301,41076,5282,4004,77843,7458,8.74,2471,27.8,0
LR-2025-080019,2025-12-14,MH-28-BB-4526,19,Open,Attached,Vedanta Resources,Kolkata Steel Depot,Jaipur,22.1,87724,32158,5223,3270,68711,19013,21.67,1516,23.2,1
LR-2025-080020,2025-10-18,TN-93-AC-7554,25,Trailer,Market,NMDC Ltd,Durgapur Steel,Lucknow,11.2,38873,34657,5571,3542,40658,-1785,-4.59,966,46.0,0
LR-2025-080021,2025-07-14,MH-57-AC-7876,19,Flatbed,Owned,Rashtriya Ispat Nigam,Rourkela Steel Plant,Coimbatore,16.1,82016,46418,4352,1906,73822,8194,9.99,1393,20.3,0
LR-2025-080022,2025-09-10,HR-52-AB-6944,21,LCV,Attached,Essar Steel,Bhilai Steel Plant,Surat,25.8,41208,27589,6069,2724,45974,-4766,-11.57,1500,16.6,0
LR-2025-080023,2025-11-27,HR-32-BB-9021,16,HCV,Market,Jindal Steel,Visakhapatnam Steel,Indore,20.6,48563,36480,5059,2910,46469,2094,4.31,785,66.2,0
LR-2025-080024,2025-09-26,TN-71-AC-5244,16,Covered,Owned,Bhushan Steel,Tata Steel Jamshedpur,Mumbai,23.9,83274,28190,5493,2317,80157,3117,3.74,964,37.2,2
LR-2025-080025,2025-07-13,RJ-41-CA-8500,19,Open,Attached,AM/NS India,Kolkata Steel Depot,Delhi NCR,18.7,37464,41199,6070,3719,46365,-8901,-23.76,2437,32.1,6
LR-2025-080026,2025-10-26,GJ-91-AB-6007,25,Trailer,Market,Lloyds Metals,Durgapur Steel,Pune,25.7,68117,23907,5399,2125,85124,-17007,-24.97,694,56.9,6
LR-2025-080027,2025-12-02,GJ-80-CB-1175,25,Flatbed,Owned,APL Apollo,Rourkela Steel Plant,Chennai,23.7,44820,26940,4764,3839,47472,-2652,-5.92,2489,54.4,1
LR-2025-080028,2025-09-11,WB-88-BA-1119,32,LCV,Attached,Shyam Steel,Bhilai Steel Plant,Bengaluru,18.4,68891,40613,3800,4826,77358,-8467,-12.29,2543,54.3,0
LR-2025-080029,2025-08-11,MH-32-AB-7013,19,HCV,Market,SRMB Steel,Visakhapatnam Steel,Hyderabad,20.3,63402,21336,4531,3829,79989,-16587,-26.16,1932,25.5,6
LR-2025-080030,2025-10-21,HR-47-BB-8915,21,Covered,Owned,Tata Steel Ltd,Tata Steel Jamshedpur,Ahmedabad,15.1,56148,18146,5822,4385,69360,-13212,-23.53,2709,38.0,4
LR-2025-080031,2025-12-14,KA-89-CB-1942,21,Open,Attached,JSW Steel,Kolkata Steel Depot,Jaipur,9.6,76137,48169,4145,3022,78275,-2138,-2.81,1829,22.0,0
LR-2025-080032,2025-09-24,WB-22-CA-9061,19,Trailer,Market,SAIL Bokaro,Durgapur Steel,Lucknow,11.3,81345,51706,3429,3482,69697,11648,14.32,887,67.1,0
LR-2025-080033,2025-10-27,KA-60-BC-5903,21,Flatbed,Owned,Hindalco Industries,Rourkela Steel Plant,Coimbatore,18.5,84426,29939,4997,5124,92991,-8565,-10.14,1483,22.1,0
LR-2025-080034,2025-11-18,RJ-65-AA-6885,32,LCV,Attached,Vedanta Resources,Bhilai Steel Plant,Surat,13.7,89008,30423,3966,1964,87981,1027,1.15,927,38.1,2
LR-2025-080035,2025-11-03,KA-95-BB-2946,25,HCV,Market,NMDC Ltd,Visakhapatnam Steel,Indore,19.8,36071,50477,6076,4592,30421,5650,15.66,901,34.2,2
LR-2025-080036,2025-09-15,UP-24-AB-1346,19,Covered,Owned,Rashtriya Ispat Nigam,Tata Steel Jamshedpur,Mumbai,12.8,91787,50768,2855,4943,88844,2943,3.21,1348,18.9,3
LR-2025-080037,2025-12-21,TN-71-BB-5623,25,Open,Attached,Essar Steel,Kolkata Steel Depot,Delhi NCR,11.2,62158,46111,3814,4329,78801,-16643,-26.78,1004,56.8,0
LR-2025-080038,2025-10-17,MH-95-CA-4250,25,Trailer,Market,Jindal Steel,Durgapur Steel,Pune,24.3,52424,24754,5671,4791,60744,-8320,-15.87,2437,50.2,0
LR-2025-080039,2025-07-14,UP-39-AB-3167,25,Flatbed,Owned,Bhushan Steel,Rourkela Steel Plant,Chennai,10.3,90024,30594,3398,3546,96094,-6070,-6.74,452,50.5,0
LR-2025-080040,2025-08-11,GJ-99-BA-4633,21,LCV,Attached,AM/NS India,Bhilai Steel Plant,Bengaluru,18.4,37339,22020,4888,3549,35763,1576,4.22,591,33.0,0
LR-2025-080041,2025-09-07,MH-50-AA-3977,16,HCV,Market,Lloyds Metals,Visakhapatnam Steel,Hyderabad,9.5,52386,39078,3668,2968,65501,-13115,-25.04,2313,31.7,1
LR-2025-080042,2025-08-20,RJ-52-BB-2827,16,Covered,Owned,APL Apollo,Tata Steel Jamshedpur,Ahmedabad,23.5,62239,26539,4156,3276,53284,8955,14.39,1860,57.6,1
LR-2025-080043,2025-07-10,GJ-36-CA-2429,16,Open,Attached,Shyam Steel,Kolkata Steel Depot,Jaipur,12.2,73630,25887,2968,4202,70186,3444,4.68,1160,26.8,0
LR-2025-080044,2025-08-06,RJ-48-CB-4309,28,Trailer,Market,SRMB Steel,Durgapur Steel,Lucknow,24.6,40464,20871,3323,2585,32328,8136,20.11,2092,46.8,0
LR-2025-080045,2025-08-02,RJ-56-CB-2923,25,Flatbed,Owned,Tata Steel Ltd,Rourkela Steel Plant,Coimbatore,10.9,91480,45459,4945,3863,105647,-14167,-15.49,469,25.3,0
LR-2025-080046,2025-08-01,WB-98-BA-7512,25,LCV,Attached,JSW Steel,Bhilai Steel Plant,Surat,23.9,42449,51651,3107,2477,38655,3794,8.94,2173,58.0,0
LR-2025-080047,2025-07-21,GJ-36-AC-1058,19,HCV,Market,SAIL Bokaro,Visakhapatnam Steel,Indore,21.5,85076,18580,6038,3900,81922,3154,3.71,2245,44.2,2
LR-2025-080048,2025-10-28,GJ-44-AB-3803,19,Covered,Owned,Hindalco Industries,Tata Steel Jamshedpur,Mumbai,10.5,50962,33611,3995,1960,46772,4190,8.22,986,68.8,0
LR-2025-080049,2025-12-10,MH-36-AB-1022,32,Open,Attached,Vedanta Resources,Kolkata Steel Depot,Delhi NCR,16.8,42714,42190,4129,2140,38469,4245,9.94,2629,30.8,0
LR-2025-080050,2025-12-09,WB-55-BA-5582,19,Trailer,Market,NMDC Ltd,Durgapur Steel,Pune,14.9,74074,19024,5001,4492,67655,6419,8.67,2769,22.0,2
LR-2025-080051,2025-10-19,MH-66-BA-6312,21,Flatbed,Owned,Rashtriya Ispat Nigam,Rourkela Steel Plant,Chennai,13.8,59033,43917,3437,3627,73894,-14861,-25.17,1329,56.9,0
LR-2025-080052,2025-11-30,KA-33-CB-4031,19,LCV,Attached,Essar Steel,Bhilai Steel Plant,Bengaluru,13.5,43721,50146,5787,2538,53739,-10018,-22.91,1535,17.2,0
LR-2025-080053,2025-07-21,MH-18-AC-2180,25,HCV,Market,Jindal Steel,Visakhapatnam Steel,Hyderabad,14.7,45647,44378,3210,4766,54096,-8449,-18.51,2537,23.7,2
LR-2025-080054,2025-09-18,TN-12-AB-1222,32,Covered,Owned,Bhushan Steel,Tata Steel Jamshedpur,Ahmedabad,29.1,34772,26662,3817,4954,37335,-2563,-7.37,722,31.0,6
LR-2025-080055,2025-12-21,HR-79-BC-2392,19,Open,Attached,AM/NS India,Kolkata Steel Depot,Jaipur,12.4,73297,47119,6140,2468,56220,17077,23.3,1639,34.6,0
LR-2025-080056,2025-10-16,HR-12-AA-2684,28,Trailer,Market,Lloyds Metals,Durgapur Steel,Lucknow,15.7,37661,51524,4501,2380,39267,-1606,-4.26,384,67.1,0
LR-2025-080057,2025-09-24,GJ-38-CA-2841,25,Flatbed,Owned,APL Apollo,Rourkela Steel Plant,Coimbatore,13.1,61992,25217,3719,2216,59537,2455,3.96,1534,36.0,1
LR-2025-080058,2025-12-02,WB-87-AC-3917,25,LCV,Attached,Shyam Steel,Bhilai Steel Plant,Surat,20.6,41756,29885,5582,3541,39562,2194,5.25,995,66.0,1
LR-2025-080059,2025-09-25,HR-44-CB-7047,21,HCV,Market,SRMB Steel,Visakhapatnam Steel,Indore,26.5,74944,23004,6031,1808,88819,-13875,-18.51,988,59.6,0
LR-2025-080060,2025-08-23,HR-24-CA-5562,19,Covered,Owned,Tata Steel Ltd,Tata Steel Jamshedpur,Mumbai,11.4,43684,26358,3544,4943,42073,1611,3.69,1957,35.7,0
LR-2025-080061,2025-09-09,RJ-27-BA-7278,25,Open,Attached,JSW Steel,Kolkata Steel Depot,Delhi NCR,21.0,65541,50283,4981,3996,73444,-7903,-12.06,1322,37.5,1
LR-2025-080062,2025-10-28,HR-40-BC-1046,19,Trailer,Market,SAIL Bokaro,Durgapur Steel,Pune,30.4,61645,19124,4284,4087,63742,-2097,-3.4,2321,69.6,4
LR-2025-080063,2025-09-22,UP-47-CB-3361,28,Flatbed,Owned,Hindalco Industries,Rourkela Steel Plant,Chennai,29.9,37904,45595,3793,2663,46770,-8866,-23.39,1299,19.1,0
LR-2025-080064,2025-09-18,WB-99-CA-7089,16,LCV,Attached,Vedanta Resources,Bhilai Steel Plant,Bengaluru,24.2,79598,22834,4753,4232,89632,-10034,-12.61,1027,17.7,0
LR-2025-080065,2025-12-20,TN-29-AC-8696,32,HCV,Market,NMDC Ltd,Visakhapatnam Steel,Hyderabad,12.4,39176,37628,4725,3485,34766,4410,11.26,1761,40.9,1
LR-2025-080066,2025-11-14,WB-92-AA-3843,28,Covered,Owned,Rashtriya Ispat Nigam,Tata Steel Jamshedpur,Ahmedabad,12.9,34865,43977,4535,4584,31696,3169,9.09,2240,47.0,3
LR-2025-080067,2025-10-26,TN-30-BB-2506,28,Open,Attached,Essar Steel,Kolkata Steel Depot,Jaipur,17.4,71490,26200,5843,2667,72989,-1499,-2.1,2020,50.7,0
LR-2025-080068,2025-08-02,HR-98-CB-8821,21,Trailer,Market,Jindal Steel,Durgapur Steel,Lucknow,23.2,46038,44548,6188,3358,54679,-8641,-18.77,1055,19.1,0
LR-2025-080069,2025-11-26,HR-19-BC-6496,16,Flatbed,Owned,Bhushan Steel,Rourkela Steel Plant,Coimbatore,14.5,61801,28666,5018,2236,53227,8574,13.87,647,27.9,0
LR-2025-080070,2025-11-02,WB-40-BB-2393,28,LCV,Attached,AM/NS India,Bhilai Steel Plant,Surat,21.4,54258,49706,2987,1996,46533,7725,14.24,1668,21.2,0
LR-2025-080071,2025-09-13,MH-50-CA-6830,19,HCV,Market,Lloyds Metals,Visakhapatnam Steel,Indore,24.3,57373,24381,4157,3468,66029,-8656,-15.09,2442,21.7,2
LR-2025-080072,2025-09-17,KA-85-AA-5753,19,Covered,Owned,APL Apollo,Tata Steel Jamshedpur,Mumbai,12.7,43842,48350,3122,4363,33860,9982,22.77,762,69.4,0
LR-2025-080073,2025-07-09,UP-30-BC-8331,19,Open,Attached,Shyam Steel,Kolkata Steel Depot,Delhi NCR,16.6,48132,41613,5353,3564,56790,-8658,-17.99,543,65.9,2
LR-2025-080074,2025-07-20,HR-29-CB-2595,16,Trailer,Market,SRMB Steel,Durgapur Steel,Pune,12.5,59403,38286,5041,5066,52532,6871,11.57,737,43.9,0
LR-2025-080075,2025-11-12,HR-45-BC-6789,16,Flatbed,Owned,Tata Steel Ltd,Rourkela Steel Plant,Chennai,11.0,45122,48195,3856,3738,56209,-11087,-24.57,1428,58.7,0
LR-2025-080076,2025-07-31,KA-15-BC-5696,25,LCV,Attached,JSW Steel,Bhilai Steel Plant,Bengaluru,18.1,43204,26453,4605,3302,53949,-10745,-24.87,2479,63.3,6
LR-2025-080077,2025-09-09,KA-43-AA-1934,32,HCV,Market,SAIL Bokaro,Visakhapatnam Steel,Hyderabad,26.1,58489,18520,3433,2231,46991,11498,19.66,1570,37.0,0
LR-2025-080078,2025-09-15,KA-95-AB-6716,25,Covered,Owned,Hindalco Industries,Tata Steel Jamshedpur,Ahmedabad,19.3,89956,48464,3246,2151,71780,18176,20.21,1118,57.0,4
LR-2025-080079,2025-11-02,TN-52-AB-6198,21,Open,Attached,Vedanta Resources,Kolkata Steel Depot,Jaipur,30.4,60014,49869,3670,4676,69585,-9571,-15.95,2330,22.4,0
