SR_No,Date,DO_No,Customer_Name,Destination,Grade,Thick_mm,Width_mm,Length_mm,Planned_Qty,Despatched_Qty,Balance_to_Despatch_Qty,Weight_Tons,Priority_Level,Delivery_Deadline,Loading_Point_Code,Loading_Point_Name,Loading_Point_Lat,Loading_Point_Lng,Destination_Lat,Destination_Lng,Expected_Freight_Rate_INR,Customer_Payment_Terms_Days,Special_Requirements,Product_Value_INR,Preferred_Vehicle_Type
1,2025-12-30,DO-2026-01-100000,Tata Steel Ltd,"Mumbai, Maharashtra",SS304,4.9,1500,2500,99,0,99,14.3,Critical,2026-01-06 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,19.076,72.8777,38717,30,Tarpaulin Cover,1016612,Covered
2,2025-12-24,DO-2026-01-100001,JSW Steel,"Mumbai, Maharashtra",SS304,4.4,1250,12000,21,0,21,10.9,High,2026-01-04 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,19.076,72.8777,68781,45,Tarpaulin Cover,4269187,Covered
3,2025-12-31,DO-2026-01-100002,SAIL Bokaro,Delhi NCR,SS316L,13.7,1500,2000,46,0,46,14.8,Medium,2026-01-15 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,28.7041,77.1025,59696,60,None,2556182,Covered
4,2026-01-01,DO-2026-01-100003,Hindalco Industries,Delhi NCR,SS316L,10.8,1000,6000,115,0,115,58.5,Normal,2026-01-09 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,28.7041,77.1025,54541,60,Wooden Crating,4603935,Open
5,2025-12-25,DO-2026-01-100004,Vedanta Resources,"Pune, Maharashtra",MS A36,5.2,1800,2000,86,0,86,12.6,Low,2026-01-08 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,18.5204,73.8567,73198,60,Tarpaulin Cover,1333470,Open
6,2025-12-30,DO-2026-01-100005,NMDC Ltd,"Pune, Maharashtra",MS A36,19.2,1500,2000,23,0,23,10.4,Critical,2026-01-17 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,18.5204,73.8567,38619,90,None,3810434,Open
7,2025-12-23,DO-2026-01-100006,Rashtriya Ispat Nigam,"Chennai, Tamil Nadu",CRS,11.6,1250,3000,38,0,38,13.0,High,2026-01-14 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,13.0827,80.2707,36679,45,None,2803622,Trailer
8,2025-12-30,DO-2026-01-100007,Essar Steel,"Chennai, Tamil Nadu",CRS,14.0,1500,12000,38,0,38,75.2,Medium,2026-01-14 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,13.0827,80.2707,53252,30,None,1019276,Trailer
9,2025-12-30,DO-2026-01-100008,Jindal Steel,"Bengaluru, Karnataka",HRS,10.2,1500,2000,121,0,121,29.1,Normal,2026-01-13 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,12.9716,77.5946,52622,45,Tarpaulin Cover,4068800,Trailer
10,2025-12-29,DO-2026-01-100009,Bhushan Steel,"Bengaluru, Karnataka",HRS,25.8,1800,2500,131,0,131,119.4,Low,2026-01-06 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,12.9716,77.5946,48162,60,Wooden Crating,4343963,Flatbed
11,2025-12-31,DO-2026-01-100010,AM/NS India,"Hyderabad, Telangana",Galvanized,17.2,1500,2500,132,0,132,66.8,Critical,2026-01-12 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,17.385,78.4867,64343,30,Wooden Crating,1669803,Flatbed
12,2026-01-01,DO-2026-01-100011,Lloyds Metals,"Hyderabad, Telangana",Galvanized,18.3,1800,12000,37,0,37,114.8,High,2026-01-10 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,17.385,78.4867,57009,90,None,846309,Flatbed
13,2025-12-23,DO-2026-01-100012,APL Apollo,"Ahmedabad, Gujarat",TMT Fe500,20.7,2000,3000,105,0,105,102.4,Medium,2026-01-09 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,23.0225,72.5714,39310,60,None,4556110,LCV
14,2025-12-31,DO-2026-01-100013,Shyam Steel,"Ahmedabad, Gujarat",TMT Fe500,26.8,1500,12000,18,0,18,68.2,Normal,2026-01-12 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,23.0225,72.5714,38973,60,Wooden Crating,5008584,LCV
15,2025-12-25,DO-2026-01-100014,SRMB Steel,"Jaipur, Rajasthan",TMT Fe550,7.2,1500,2500,95,0,95,20.1,Low,2026-01-16 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,26.9124,75.7873,66757,30,Tarpaulin Cover,4848721,LCV
